Date,Open,High,Low,Close,Volume
10/20/2008,27.22,27.61,25.85,25.85,"4,915,452"
10/21/2008,26.39,27.45,25.84,26.32,"6,791,187"
10/22/2008,25.93,26.67,24.64,24.64,"3,294,622"
10/23/2008,24.18,24.89,22.25,24.25,"4,735,761"
10/24/2008,22.70,23.25,21.50,22.83,"6,074,756"
10/27/2008,21.78,23.08,20.99,22.70,"7,285,794"
10/28/2008,23.85,24.82,23.53,24.64,"5,773,756"
10/29/2008,26.48,27.87,25.74,27.22,"5,045,770"
10/30/2008,28.60,28.96,27.22,28.33,"6,118,477"
10/31/2008,27.82,29.06,27.31,28.60,"3,968,634"
11/03/2008,28.60,29.57,28.14,28.88,"3,522,683"
11/04/2008,29.07,31.14,28.79,31.14,"2,759,383"
11/05/2008,30.90,30.91,29.99,30.34,"2,319,699"
11/06/2008,28.88,30.08,27.98,28.51,"3,825,100"
11/07/2008,28.70,29.25,27.78,28.42,"3,006,640"
11/10/2008,29.07,29.52,29.07,29.22,"955,765"
11/12/2008,28.24,28.42,26.48,27.68,"3,653,665"
11/13/2008,25.70,27.50,25.37,26.95,"4,265,530"
11/14/2008,27.91,28.18,27.40,27.77,"2,884,681"
11/17/2008,27.68,27.82,26.58,27.22,"1,672,842"
11/18/2008,26.99,26.99,25.93,26.21,"2,590,217"
11/19/2008,26.66,27.13,25.94,27.13,"2,374,059"
11/20/2008,25.65,26.05,25.24,25.84,"3,514,726"
11/21/2008,26.39,26.94,25.61,26.30,"2,510,930"
11/24/2008,26.80,29.01,26.39,29.01,"1,776,328"
11/25/2008,28.88,29.99,28.47,29.89,"3,059,330"
11/26/2008,29.16,30.67,28.92,29.76,"3,584,510"
11/27/2008,30.27,30.63,29.98,30.35,"2,243,933"
11/28/2008,30.13,30.72,29.07,29.53,"2,900,740"
12/01/2008,29.24,29.52,28.53,28.60,"2,128,934"
12/02/2008,27.68,29.90,27.40,29.16,"2,981,813"
12/03/2008,29.34,29.69,28.45,28.65,"2,018,912"
12/04/2008,28.97,30.73,28.71,30.45,"4,308,676"
12/05/2008,29.99,30.78,29.37,29.85,"1,786,760"
12/08/2008,31.13,32.39,31.10,32.20,"4,096,354"
12/09/2008,32.15,33.22,31.86,33.22,"4,231,373"
12/10/2008,33.49,33.96,32.66,33.34,"4,496,296"
12/11/2008,33.22,33.59,32.67,33.40,"3,363,896"
12/12/2008,32.30,32.48,31.74,32.12,"2,566,801"
12/15/2008,32.76,33.31,31.93,33.31,"1,693,054"
12/16/2008,33.31,35.02,32.95,35.02,"3,974,744"
12/17/2008,35.11,35.16,32.76,32.76,"2,428,286"
12/18/2008,32.30,33.36,32.03,32.66,"2,249,039"
12/19/2008,32.11,33.10,32.02,32.30,"3,509,511"
